"ccaa_cd"|"ccaa_st"|"proceso"|"mes_año"|"n_pac_leq_estructural"|"te_1000hab"|"tiempo_medio"|"perc_pacs_over_180d"
"01"|"ANDALUCÍA"|"amigdalectomia_adenoidectomia"|2023-12-31 00:00:00.000|3387.0|0.41|133.0|27.5
"02"|"ARAGON"|"amigdalectomia_adenoidectomia"|2023-12-31 00:00:00.000|226.0|0.17|144.0|29.2
"03"|"PDO DE ASTURIAS"|"amigdalectomia_adenoidectomia"|2023-12-31 00:00:00.000|262.0|0.26|95.0|7.6
"04"|"BALEARES"|"amigdalectomia_adenoidectomia"|2023-12-31 00:00:00.000|394.0|0.33|122.0|18.3
"05"|"CANARIAS"|"amigdalectomia_adenoidectomia"|2023-12-31 00:00:00.000|804.0|0.38|94.0|14.1
"06"|"CANTABRIA"|"amigdalectomia_adenoidectomia"|2023-12-31 00:00:00.000|441.0|0.77|150.0|39.9
"07"|"CASTILLA Y LEON"|"amigdalectomia_adenoidectomia"|2023-12-31 00:00:00.000|540.0|0.23|105.0|20.4
"08"|"CASTILLA-LA MANCHA"|"amigdalectomia_adenoidectomia"|2023-12-31 00:00:00.000|1071.0|0.54|109.0|15.5
"09"|"CATALUÑA"|"amigdalectomia_adenoidectomia"|2023-12-31 00:00:00.000|5384.0|0.7|164.0|44.6
"10"|"COMUNIDAD VALENCIANA"|"amigdalectomia_adenoidectomia"|2023-12-31 00:00:00.000|878.0|0.18|92.0|19.4
"11"|"EXTREMADURA"|"amigdalectomia_adenoidectomia"|2023-12-31 00:00:00.000|606.0|0.6|111.0|22.6
"12"|"GALICIA"|"amigdalectomia_adenoidectomia"|2023-12-31 00:00:00.000|914.0|0.35|79.0|2.6
"13"|"MADRID"|"amigdalectomia_adenoidectomia"|2023-12-31 00:00:00.000|1029.0|0.15|62.0|1.0
"14"|"MURCIA"|"amigdalectomia_adenoidectomia"|2023-12-31 00:00:00.000|499.0|0.32|82.0|10.2
"15"|"C. FORAL DE NAVARRA"|"amigdalectomia_adenoidectomia"|2023-12-31 00:00:00.000|326.0|0.5|98.0|15.0
"16"|"PAÍS VASCO"|"amigdalectomia_adenoidectomia"|2023-12-31 00:00:00.000|537.0|0.24|68.0|0.2
"17"|"RIOJA"|"amigdalectomia_adenoidectomia"|2023-12-31 00:00:00.000|145.0|0.45|97.0|14.5
"18"|"CEUTA"|"amigdalectomia_adenoidectomia"|2023-12-31 00:00:00.000|26.0|0.35|152.0|
"19"|"MELILLA"|"amigdalectomia_adenoidectomia"|2023-12-31 00:00:00.000|9.0|0.12||
"01"|"ANDALUCÍA"|"artroscopia"|2023-12-31 00:00:00.000|3852.0|0.46|161.0|37.3
"02"|"ARAGON"|"artroscopia"|2023-12-31 00:00:00.000|480.0|0.36|262.0|47.9
"03"|"PDO DE ASTURIAS"|"artroscopia"|2023-12-31 00:00:00.000|1139.0|1.14|117.0|23.3
"04"|"BALEARES"|"artroscopia"|2023-12-31 00:00:00.000|342.0|0.28|113.0|19.3
"05"|"CANARIAS"|"artroscopia"|2023-12-31 00:00:00.000|703.0|0.33|177.0|34.4
"06"|"CANTABRIA"|"artroscopia"|2023-12-31 00:00:00.000|224.0|0.39|205.0|50.9
"07"|"CASTILLA Y LEON"|"artroscopia"|2023-12-31 00:00:00.000|782.0|0.34|170.0|39.0
"08"|"CASTILLA-LA MANCHA"|"artroscopia"|2023-12-31 00:00:00.000|348.0|0.18|91.0|5.7
"09"|"CATALUÑA"|"artroscopia"|2023-12-31 00:00:00.000|4325.0|0.56|149.0|37.2
"10"|"COMUNIDAD VALENCIANA"|"artroscopia"|2023-12-31 00:00:00.000|1817.0|0.37|94.0|16.0
"11"|"EXTREMADURA"|"artroscopia"|2023-12-31 00:00:00.000|456.0|0.45|255.0|56.6
"12"|"GALICIA"|"artroscopia"|2023-12-31 00:00:00.000|939.0|0.36|83.0|7.6
"13"|"MADRID"|"artroscopia"|2023-12-31 00:00:00.000|614.0|0.09|48.0|1.1
"14"|"MURCIA"|"artroscopia"|2023-12-31 00:00:00.000|1223.0|0.79|110.0|20.6
"15"|"C. FORAL DE NAVARRA"|"artroscopia"|2023-12-31 00:00:00.000|380.0|0.58|104.0|16.3
"16"|"PAÍS VASCO"|"artroscopia"|2023-12-31 00:00:00.000|279.0|0.12|83.0|8.6
"17"|"RIOJA"|"artroscopia"|2023-12-31 00:00:00.000|262.0|0.82|139.0|30.5
"18"|"CEUTA"|"artroscopia"|2023-12-31 00:00:00.000|5.0|0.07|155.0|20.0
"19"|"MELILLA"|"artroscopia"|2023-12-31 00:00:00.000|22.0|0.31|134.0|27.3
"01"|"ANDALUCÍA"|"by_pass_coronario"|2023-12-31 00:00:00.000|32.0|0.0|57.0|9.4
"02"|"ARAGON"|"by_pass_coronario"|2023-12-31 00:00:00.000|2.0|0.0|117.0|50.0
"03"|"PDO DE ASTURIAS"|"by_pass_coronario"|2023-12-31 00:00:00.000|10.0|0.01|75.0|
"04"|"BALEARES"|"by_pass_coronario"|2023-12-31 00:00:00.000|48.0|0.04|86.0|
"05"|"CANARIAS"|"by_pass_coronario"|2023-12-31 00:00:00.000|7.0|0.0|56.0|14.3
"07"|"CASTILLA Y LEON"|"by_pass_coronario"|2023-12-31 00:00:00.000|4.0|0.0|28.0|
"08"|"CASTILLA-LA MANCHA"|"by_pass_coronario"|2023-12-31 00:00:00.000|7.0|0.0|79.0|
"09"|"CATALUÑA"|"by_pass_coronario"|2023-12-31 00:00:00.000|60.0|0.01|28.0|
"10"|"COMUNIDAD VALENCIANA"|"by_pass_coronario"|2023-12-31 00:00:00.000|28.0|0.01|40.0|
"12"|"GALICIA"|"by_pass_coronario"|2023-12-31 00:00:00.000|29.0|0.01|62.0|
"13"|"MADRID"|"by_pass_coronario"|2023-12-31 00:00:00.000|9.0|0.0|35.0|
"14"|"MURCIA"|"by_pass_coronario"|2023-12-31 00:00:00.000|7.0|0.0|31.0|
"16"|"PAÍS VASCO"|"by_pass_coronario"|2023-12-31 00:00:00.000|6.0|0.0|36.0|
"17"|"RIOJA"|"by_pass_coronario"|2023-12-31 00:00:00.000|1.0|0.0|16.0|
"01"|"ANDALUCÍA"|"cataratas"|2023-12-31 00:00:00.000|27441.0|3.3|94.0|14.8
"02"|"ARAGON"|"cataratas"|2023-12-31 00:00:00.000|7695.0|5.74|113.0|23.0
"03"|"PDO DE ASTURIAS"|"cataratas"|2023-12-31 00:00:00.000|5006.0|5.01|88.0|6.4
"04"|"BALEARES"|"cataratas"|2023-12-31 00:00:00.000|2126.0|1.77|71.0|3.1
"05"|"CANARIAS"|"cataratas"|2023-12-31 00:00:00.000|4515.0|2.13|98.0|16.9
"06"|"CANTABRIA"|"cataratas"|2023-12-31 00:00:00.000|2690.0|4.7|106.0|17.3
"07"|"CASTILLA Y LEON"|"cataratas"|2023-12-31 00:00:00.000|3401.0|1.47|40.0|0.6
"08"|"CASTILLA-LA MANCHA"|"cataratas"|2023-12-31 00:00:00.000|7925.0|4.02|87.0|3.3
"09"|"CATALUÑA"|"cataratas"|2023-12-31 00:00:00.000|22294.0|2.9|73.0|1.9
"10"|"COMUNIDAD VALENCIANA"|"cataratas"|2023-12-31 00:00:00.000|9271.0|1.87|60.0|6.6
"11"|"EXTREMADURA"|"cataratas"|2023-12-31 00:00:00.000|4360.0|4.28|87.0|11.3
"12"|"GALICIA"|"cataratas"|2023-12-31 00:00:00.000|10240.0|3.94|65.0|
"13"|"MADRID"|"cataratas"|2023-12-31 00:00:00.000|10138.0|1.47|45.0|0.5
"14"|"MURCIA"|"cataratas"|2023-12-31 00:00:00.000|5781.0|3.75|84.0|10.7
"15"|"C. FORAL DE NAVARRA"|"cataratas"|2023-12-31 00:00:00.000|1163.0|1.77|55.0|0.8
"16"|"PAÍS VASCO"|"cataratas"|2023-12-31 00:00:00.000|4156.0|1.85|51.0|
"17"|"RIOJA"|"cataratas"|2023-12-31 00:00:00.000|994.0|3.11|87.0|13.2
"18"|"CEUTA"|"cataratas"|2023-12-31 00:00:00.000|198.0|2.66||
"19"|"MELILLA"|"cataratas"|2023-12-31 00:00:00.000|154.0|2.14|75.0|
"01"|"ANDALUCÍA"|"cirugia_valvular"|2023-12-31 00:00:00.000|377.0|0.05|84.0|12.2
"02"|"ARAGON"|"cirugia_valvular"|2023-12-31 00:00:00.000|42.0|0.03|53.0|
